,Timestamp,Trend Flags,Status,Value,predicted_mean
223,03-Dec-23 7:45:00 AM IST,{ },{ok},23,
224,03-Dec-23 8:00:00 AM IST,{ },{ok},23,
225,03-Dec-23 8:15:00 AM IST,{ },{ok},23,
226,03-Dec-23 8:30:00 AM IST,{ },{ok},23,
227,03-Dec-23 8:45:00 AM IST,{ },{ok},23,
228,03-Dec-23 9:00:00 AM IST,{ },{ok},23,
229,03-Dec-23 9:15:00 AM IST,{ },{ok},23,
230,03-Dec-23 9:30:00 AM IST,{ },{ok},23,
231,03-Dec-23 9:45:00 AM IST,{ },{ok},23,
232,03-Dec-23 10:00:00 AM IST,{ },{ok},23,
233,03-Dec-23 10:15:00 AM IST,{ },{ok},23,
234,03-Dec-23 10:30:00 AM IST,{ },{ok},23,
235,03-Dec-23 10:45:00 AM IST,{ },{ok},23,
236,03-Dec-23 11:00:00 AM IST,{ },{ok},23,
237,03-Dec-23 11:15:00 AM IST,{ },{ok},23,
238,03-Dec-23 11:30:00 AM IST,{ },{ok},23,
239,03-Dec-23 11:45:00 AM IST,{ },{ok},23,
240,03-Dec-23 12:00:00 PM IST,{ },{ok},23,
241,03-Dec-23 12:15:00 PM IST,{ },{ok},23,
242,03-Dec-23 12:30:00 PM IST,{ },{ok},23,
243,03-Dec-23 12:45:00 PM IST,{ },{ok},23,
244,03-Dec-23 1:00:00 PM IST,{ },{ok},23,
245,03-Dec-23 1:15:00 PM IST,{ },{ok},23,
246,03-Dec-23 1:30:00 PM IST,{ },{ok},23,
247,03-Dec-23 1:45:00 PM IST,{ },{ok},23,
248,03-Dec-23 2:00:00 PM IST,{ },{ok},23,
249,03-Dec-23 2:15:00 PM IST,{ },{ok},23,
250,03-Dec-23 2:30:00 PM IST,{ },{ok},23,
251,03-Dec-23 2:45:00 PM IST,{ },{ok},23,
252,03-Dec-23 3:00:00 PM IST,{ },{ok},23,
253,03-Dec-23 3:15:00 PM IST,{ },{ok},23,
254,03-Dec-23 3:30:00 PM IST,{ },{ok},23,
255,03-Dec-23 3:45:00 PM IST,{ },{ok},23,
256,03-Dec-23 4:00:00 PM IST,{ },{ok},23,
257,03-Dec-23 4:15:00 PM IST,{ },{ok},23,
258,03-Dec-23 4:30:00 PM IST,{ },{ok},23,
259,03-Dec-23 4:45:00 PM IST,{ },{ok},23,
260,03-Dec-23 5:00:00 PM IST,{ },{ok},23,
261,03-Dec-23 5:15:00 PM IST,{ },{ok},23,
262,03-Dec-23 5:30:00 PM IST,{ },{ok},23,
263,03-Dec-23 5:45:00 PM IST,{ },{ok},23,
264,03-Dec-23 6:00:00 PM IST,{ },{ok},23,
265,03-Dec-23 6:15:00 PM IST,{ },{ok},23,
266,03-Dec-23 6:30:00 PM IST,{ },{ok},23,
